rating,date,review,platform,sentiment,clean,Clean_text_length,text_length_category
2,2024-12-25,"This app doesnt give you option to share your issues The
                chatbot has fixed issues and only those can be addressed It
                doesnt give an opportunity to tell your issues with the order
                In The name of gift packing they are merely sending a carry bag
                and putting all the items in it rather than actually packing the
                product in gift form",blinkit,Negative,this doesnt give option share your issues chatbot fixed issues only those addressed doesnt give opportunity tell your issues with order name gift packing they merely sending carry putting items rather than actually packing product gift form,240,200-300
1,2024-12-21,"I would have given  star rating if there was a option one of
                the worst app ever non sense app When we place order it picks
                up some other location it shows the same location for the
                customer but picks up different location for delivery guy one
                of the worst experience ever had in blinkit Not once it
                happened twice with me even after double checking the location
                before confirming the order waste of time and money  Wont
                recommend to anyone",blinkit,Negative,would have given star rating there option worst ever sense when place order picks some other location shows same location customer picks different location delivery worst experience ever blinkit once happened twice with even after double checking location before confirming order waste time money wont recommend anyone,318,Above 300
1,2024-12-27,"Worst experience ever I am new to this app All was good with
                few initial orders But when I ordered an Earbuds I received
                damaged or fake product The branded earbuds are discharging
                quickly And theres no option to return Or even raise a
                concern I didnt even get any bill for the product bought I
                cant even claim warranty from earbuds brand My money is
                wasted Or I should say stolen by Blinkit I promise to never
                buy any thing from Blinkit ever again Even grocery product",blinkit,Negative,worst experience ever this good with initial orders when ordered earbuds received damaged fake product branded earbuds discharging quickly theres option return even raise concern didnt even bill product bought cant even claim warranty from earbuds brand money wasted should stolen blinkit promise never thing from blinkit ever again even grocery product,353,Above 300
1,2024-12-21,"I actually disappointed with the service that there is no
                exchange policy not talking about  or  days expired product
                s For any items that has long expiry you should have exchange
                policy if we place it by mistakemy case Surf  Top load
                instead of front load If this happen in a regular retail
                store we could have easily exchanged it without any issue
                Blinkit need to review it to improve customer experience",blinkit,Negative,actually disappointed with service that there exchange policy talking about days expired product items that long expiry should have exchange policy place mistakemy case surf load instead front load this happen regular retail store could have easily exchanged without issue blinkit need review improve customer experience,320,Above 300
2,2024-12-16,"It does show items out of stock  only after adding it to the
                cart It shows out of stock Also app crashes of there is sudden
                increase in pricewhen i go back i see its bit expensive
                nowit is frustrating and soI switched to Zepto It has a
                good interface and shows which are out of stock and user
                friendly and clean If there is any item out of stock plz grey
                it outinstead of giving silly reasonsAlso no option for
                return and refund if u get wrong or products in bad shape",blinkit,Negative,does show items stock only after adding cart shows stock also crashes there sudden increase pricewhen back expensive nowit frustrating switched zepto good interface shows which stock user friendly clean there item stock grey outinstead giving silly reasonsalso option return refund wrong products shape,302,Above 300
1,2024-12-25,"Accidentally I clicked on check out and the order got placed and
                with in fraction of seconds I tried to cancel it  the app said
                ur order is packed how on earth they can pack it in mili
                seconds And then it promptly said cannot cancel the order
                Tried to contact the coustomer care and couldnt get through I
                guess they purposefully put such bugs in the app so that any
                accidental orders are converted into business Good job on cheap
                trick blink it No more using this tricky app",blinkit,Negative,accidentally clicked check order placed with fraction seconds tried cancel said order packed earth they pack mili seconds then promptly said cannot cancel order tried contact coustomer care couldnt through guess they purposefully such bugs that accidental orders converted into business good cheap trick blink more using this tricky,332,Above 300
1,2024-12-27,"I understand that theres rain but it stopped raining for hours
                but it was still unavailable it was my first time checking out
                the app after a friend recommended it and i absolutely regret
                it The worst thing is that they dont do cash on delivery any
                more apparently just because some people dont have change
                doesnt mean everyone doesnt",blinkit,Negative,understand that theres rain stopped raining hours still unavailable first time checking after friend recommended absolutely regret worst thing that they dont cash delivery more apparently just because some people dont have change doesnt mean everyone doesnt,257,200-300
5,2024-12-26,"The Blinkit application is just Outstanding I am using this
                application since a long time and I can say that its services
                are wonderful Blinkit is the best  minutes delivery app Its
                delivery speed is literally so fast I get my every order
                delivered to me in  minutes The Crazy deals  heavy
                discounts makes the shopping experience like WOW You must have
                Blinkit application in your smartphone ",blinkit,Positive,blinkit application just outstanding using this application since long time that services wonderful blinkit best minutes delivery delivery speed literally fast every order delivered minutes crazy deals heavy discounts makes shopping experience like must have blinkit application your smartphone,294,200-300
5,2024-12-11,"Efficient and Reliable Service Ive been using Blinkit for a
                while now and it has truly made my life easier The app is
                userfriendly with a wide range of products available
                Deliveries are incredibly fast and the items are always fresh
                and wellpacked Customer service is prompt and helpful whenever
                Ive had queries Its a goto solution for quick grocery
                shopping especially for lastminute needs Highly recommended",blinkit,Positive,efficient reliable service been using blinkit while truly made life easier userfriendly with wide range products available deliveries incredibly fast items always fresh wellpacked customer service prompt helpful whenever queries goto solution quick grocery shopping especially lastminute needs highly recommended,312,Above 300
1,2024-12-19,"People may find it easy to get and easy to handle to get
                products but they wont know about the cons or their other side
                where they bring other products if the real products are out of
                stock and if they want to refund they make their way in coupons
                so that they make sure you buy only from blinkit  I got the
                option of getting refund of money but they didnt let me choose
                that option so all I had to do is use the coupon",blinkit,Negative,people find easy easy handle products they wont know about cons their other side where they bring other products real products stock they want refund they make their coupons that they make sure only from blinkit option getting refund money they didnt choose that option coupon,276,200-300
1,2024-12-25,"My issue is not with the app but with the delivery partners I
                had ordered groceries only to have the delivery partner refuse
                to walk up the stairs to deliver the order When I went down to
                get the order myself I asked him why he wouldnt come and just
                hung up on me while I asked him to He was not fit at all
                created a scene in the neighborhood vulgar words and body
                language having no decency while talking to the elderly either
                Please do better in hiring your delivery executives Blinkit",blinkit,Negative,issue with with delivery partners ordered groceries only have delivery partner refuse walk stairs deliver order when went down order myself asked wouldnt come just hung while asked created scene neighborhood vulgar words body language having decency while talking elderly either please better hiring your delivery executives blinkit,332,Above 300
1,2024-12-19,"Most third rate app When I contact support I cannot type my
                issue but need to choose only from their drop downs Each time
                you are deducting a delivery tip though I have not given you any
                blanket authorisation For an order less than  you have
                charged   I had ordered goods worth  but your
                oversmart app delivered goods with  Tata bye bye to this
                cheat of an organisation",blinkit,Negative,most third rate when contact support cannot type issue need choose only from their drop downs each time deducting delivery though have given blanket authorisation order less than have charged ordered goods worth your oversmart delivered goods with tata this cheat organisation,276,200-300
5,2024-12-25,"The experience is amazing There are no words to describe
                Blinkits quick and comfortable with simple delivery Everything
                you need in just minutes like literally everything you can
                imagine Adding cherry to top hassle free payments with cost
                effective products Furthermore special free treats for you on
                special day Excellent must have Keep it up Blinkit team ",blinkit,Positive,experience amazing there words describe blinkits quick comfortable with simple delivery everything need just minutes like literally everything imagine adding cherry hassle free payments with cost effective products furthermore special free treats special excellent must have keep blinkit team,292,200-300
1,2024-12-24,"This is the second time with my bad experience as i had to order
                in emergency i didbut poor quality as all the veggies i ordered
                were damaged and they sent soo poor quality Veggies When i
                complained themthey asked for replacement to which i agreed but
                when the ordered arrivednew ones it was more poor quality
                which i showed the delivery executive as well To which he
                helped me to send them again So poor quality I think they sell
                the veggies which are left over in markets at higher price",blinkit,Negative,this second time with experience order emergency didbut poor quality veggies ordered were damaged they sent poor quality veggies when complained themthey asked replacement which agreed when ordered arrivednew ones more poor quality which showed delivery executive well which helped send them again poor quality think they sell veggies which left over markets higher price,371,Above 300
1,2024-12-22,"Worst app for buying any thing they can sell duplicate product
                also and If you complain then also they just ignore you buy send
                severals or messages instant of providing help support I had
                buyed a Sandisk  GB pendrive and after receiving it I had use
                it for the first time and the pendrive started heating and when
                ever I use it then it start heating and after some time it get
                eject from my system automaticallyafter I analyse the
                problem I had contact to help support but no support",blinkit,Negative,worst buying thing they sell duplicate product also complain then also they just ignore send severals messages instant providing help support buyed sandisk pendrive after receiving first time pendrive started heating when ever then start heating after some time eject from system automaticallyafter analyse problem contact help support support,343,Above 300
1,2024-12-16,"Charging surge charges just to take extra money of our pockets
                Such a cheap trick First theyll offer everything for genuine
                delivery rates and then theyll charge extra for no reason and
                guess what that too delivering in  minutes If Im paying
                surge charges then why its taking  min Werent you a 
                minutes delivery app Waiting for Amazon to disrupt the market",blinkit,Negative,charging surge charges just take extra money pockets such cheap trick first theyll offer everything genuine delivery rates then theyll charge extra reason guess what that delivering minutes paying surge charges then taking werent minutes delivery waiting amazon disrupt market,276,200-300
1,2024-12-25,"They show free gift for suppose rsbut free gift do not add
                automatically we have to add it add button does not show
                properly so that people forget to add also raise their order
                for that much rupees and get nothing Instead of my free
                christmas cake they have given me rs google card and i thought
                i was getting a free cake Very bad experience",blinkit,Negative,they show free gift suppose rsbut free gift automatically have button does show properly that people forget also raise their order that much rupees nothing instead free christmas cake they have given google card thought getting free cake very experience,253,200-300
1,2024-12-27,"Lots of surge pricing and poor customer support Disappointed
                with the app They say that this surge pricing motivates the
                delivery partner for additional efforts to bring me my order at
                the earliest in less than ideal circumstances Blinkit in the
                spirit of transparency can you prove to your customers that
                there indeed are less than ideal circumstances The customer
                has the right to know I feel that this charge is purposely used
                to milk additional amount from the customer",blinkit,Negative,lots surge pricing poor customer support disappointed with they that this surge pricing motivates delivery partner additional efforts bring order earliest less than ideal circumstances blinkit spirit transparency prove your customers that there indeed less than ideal circumstances customer right know feel that this charge purposely used milk additional amount from customer,375,Above 300
1,2024-12-28,"From sending stale  bad products to now surpassing their own
                record Their delivery time is NOT in their control The CC
                gives lame excuses Your order if delivered at some wrong
                address will never be compensated  delivered They ask you to
                cancel instead and when you dont eventually they will The
                delivery partner changes  is NOT updated on your App They
                even differentiate between Metros and Growth Markets in the way
                their delivery staff and CC Reps behave BAD experiences",blinkit,Negative,from sending stale products surpassing their record their delivery time their control gives lame excuses your order delivered some wrong address will never compensated delivered they cancel instead when dont eventually they will delivery partner changes updated your they even differentiate between metros growth markets their delivery staff reps behave experiences,365,Above 300
1,2024-12-25,"Not resolving the GREVIENCE for the ordered products I ordered
                two products which has replacement for one day and  customer
                support I received a damaged one I tried to reach out but they
                will only chat I raised a request for replacement or refund the
                amount with full charges ie including delivery charges But
                they given refund without delivery charges and saying that they
                are unable to replace the product because of OPERATIONAL
                RESTRAINTS And i am able to order again with charges",blinkit,Negative,resolving grevience ordered products ordered products which replacement customer support received damaged tried reach they will only chat raised request replacement refund amount with full charges including delivery charges they given refund without delivery charges saying that they unable replace product because operational restraints able order again with charges,367,Above 300
1,2024-12-27,"Always incomplete order is delivered I had ordered for print
                service through blinkit for which i had to vomplete the entire
                order Since there was a surcharge so had to order for minimum
                 and guess what the print documents were not delivered
                Pathetic Zepto and instamart are far better",blinkit,Negative,always incomplete order delivered ordered print service through blinkit which vomplete entire order since there surcharge order minimum guess what print documents were delivered pathetic zepto instamart better,209,200-300
1,2024-12-23,"I like this app But now recent order is  Which I ordered a
                product That product is missed and so I contacted to customer
                carebut no response Make sure that check once your order like
                capturing imagesand when u receive item check once of your
                order and then sent the delivery man back to his work",blinkit,Negative,like this recent order which ordered product that product missed contacted customer carebut response make sure that check once your order like capturing imagesand when receive item check once your order then sent delivery back work,231,200-300
1,2024-12-25,"Misleading promotions and marketing tactics are used by blinkit
                They showed mea free item for order above  When I had cart
                below  it showed me add for example  more for free gift 
                I added  more it showed unlocked free gift It makes us
                think we are eligible and will receive free gift  However I
                didnt received any They said on complaining that you need to
                add Tho whole UI is made to somehow convey you are getting gift
                which in unlocked misleading so that max people miss it",blinkit,Negative,misleading promotions marketing tactics used blinkit they showed free item order above when cart below showed example more free gift added more showed unlocked free gift makes think eligible will receive free gift however didnt received they said complaining that need whole made somehow convey getting gift which unlocked misleading that people miss,350,Above 300
1,2024-12-25,"they folls customers when I opened app they said you will free
                item for orders above  So I ordered in blinkit they didnt
                provided free item and they changed words And they denied to
                cancel order They dont know that customer cant fool every
                time now am just deleted their app and I never use it I
                strongly recommend to my friends not use their app and dont get
                fool",blinkit,Negative,they folls customers when opened they said will free item orders above ordered blinkit they didnt provided free item they changed words they denied cancel order they dont know that customer cant fool every time just deleted their never strongly recommend friends their dont fool,278,200-300
1,2024-12-23,"It is not accepting even the locations near my house I gave the
                location of Indore airport but that too is not being accepted
                Then I gave the location of Kalani Nagar but it rejected that
                too If you are not capable of delivering somewhere  then why
                did you make the app I gave a location  kilometers away from
                my house but that too is not being accepted I tried a lot but
                the app did not start Close this app",blinkit,Negative,accepting even locations near house gave location indore airport that being accepted then gave location kalani nagar rejected that capable delivering somewhere then make gave location kilometers away from house that being accepted tried start close this,253,200-300
3,2024-12-21,"some products are not have actual information as well as
                misconduct to user i mean to say i was purchased nu brand fast
                charging data cable W when i bought and after using that data
                cable on my Vivo V Phone Adopter which have W that data
                cable is not supported fast charging so my experience with
                Blinkit is not goodbut yes blinkit support is very Good  ",blinkit,Neutral,some products have actual information well misconduct user mean purchased brand fast charging data cable when bought after using that data cable vivo phone adopter which have that data cable supported fast charging experience with blinkit goodbut blinkit support very good,272,200-300
4,2024-12-25,"I like this app but I dont understand one functionality Maybe
                it is a bug After buying any product we get option to provide
                stars and add some review about the product But while buying
                anything we can see the rating of the products and no of ratings
                which product has received BUT we cannot read the reviews of
                the product I think this is basic requirement and advantage
                while buying any product online",blinkit,Positive,like this dont understand functionality maybe after buying product option provide stars some review about product while buying anything rating products ratings which product received cannot read reviews product think this basic requirement advantage while buying product online,277,200-300
5,2024-12-24,"Blinkit is a gamechanger in online grocery shopping With its
                superfast delivery wide product range and excellent quality
                it ensures convenience like never before The app is
                userfriendly and customer service is prompt making it a
                reliable choice for everyday needs Highly recommended for
                hasslefree and efficient shopping",blinkit,Positive,blinkit gamechanger online grocery shopping with superfast delivery wide product range excellent quality ensures convenience like never before userfriendly customer service prompt making reliable choice everyday needs highly recommended hasslefree efficient shopping,266,200-300
